,response,touch_sensor,turn right,turn left,forward,backward,check
0,-1,-1,0,0,0,0,1
1,-1,0,0,1,0,0,0
2,-10,0,0,0,1,0,0
3,-10,0,0,0,1,0,0
4,-1,0,0,0,0,1,0
5,-1,0,0,0,0,1,0
6,-1,0,1,0,0,0,0
7,-1,-1,0,0,0,0,1
8,2,0,0,0,1,0,0
9,-1,0,1,0,0,0,0
10,2,0,0,0,1,0,0
11,-1,-1,0,0,0,0,1
12,-1,-1,0,0,0,0,1
13,-1,0,0,1,0,0,0
14,-1,-1,0,0,0,0,1
15,-1,0,0,0,0,1,0
16,-1,0,0,1,0,0,0
17,-1,0,0,1,0,0,0
18,-1,0,0,1,0,0,0
19,-1,0,1,0,0,0,0
20,-1,0,1,0,0,0,0
21,-1,0,1,0,0,0,0
22,-1,-1,0,0,0,0,1
23,-1,0,1,0,0,0,0
24,2,0,0,0,1,0,0
25,2,0,0,0,1,0,0
26,-1,0,0,1,0,0,0
27,2,0,0,0,1,0,0
28,-1,0,0,0,0,1,0
29,-10,0,0,0,0,1,0
30,-1,-1,0,0,0,0,1
31,-1,0,0,1,0,0,0
32,2,0,0,0,1,0,0
33,-1,0,0,0,0,1,0
34,-1,0,0,1,0,0,0
35,-1,0,0,1,0,0,0
36,-1,0,0,1,0,0,0
37,2,0,0,0,1,0,0
38,-1,0,0,0,0,1,0
39,-1,0,1,0,0,0,0
40,-1,-1,0,0,0,0,1
41,-1,0,0,0,0,1,0
42,-1,0,0,0,0,1,0
43,-1,-1,0,0,0,0,1
44,-1,0,1,0,0,0,0
45,-1,1,0,0,0,0,1
46,-1,1,0,0,0,0,1
47,-1,0,1,0,0,0,0
48,2,0,0,0,1,0,0
49,-1,0,1,0,0,0,0
50,-1,0,1,0,0,0,0
51,-1,0,0,1,0,0,0
52,-1,0,1,0,0,0,0
53,-1,0,0,0,0,1,0
54,-1,-1,0,0,0,0,1
55,-1,0,0,1,0,0,0
56,-1,0,1,0,0,0,0
57,2,0,0,0,1,0,0
58,-1,0,1,0,0,0,0
59,-1,1,0,0,0,0,1
