,response,touch_sensor,turn right,turn left,forward,backward,check
0,2,0,0,0,1,0,0
1,-1,-1,0,0,0,0,1
2,-1,0,0,1,0,0,0
3,2,0,0,0,1,0,0
4,-1,-1,0,0,0,0,1
5,-1,0,0,1,0,0,0
6,2,0,0,0,0,0,0
7,-1,-1,0,0,0,0,1
8,-1,0,1,0,0,0,0
9,2,0,0,0,0,0,0
10,-1,0,0,1,0,0,0
11,-1,0,0,1,0,0,0
12,2,0,0,0,1,0,0
13,-1,0,0,1,0,0,0
14,2,0,0,0,0,0,0
15,-1,0,0,1,0,0,0
16,2,0,0,0,0,0,0
17,-1,0,0,1,0,0,0
18,-1,1,0,0,0,0,1
19,-1,1,0,0,0,0,1
20,-1,0,0,1,0,0,0
21,2,0,0,0,1,0,0
22,-1,0,1,0,0,0,0
23,-1,-1,0,0,0,0,1
24,-1,0,1,0,0,0,0
25,-1,0,0,1,0,0,0
26,-1,-1,0,0,0,0,1
27,2,0,0,0,1,0,0
28,-1,0,0,1,0,0,0
29,-1,0,1,0,0,0,0
30,-1,0,1,0,0,0,0
31,2,0,0,0,0,0,0
32,2,0,0,0,1,0,0
33,2,0,0,0,0,0,0
34,-1,0,1,0,0,0,0
35,-1,-1,0,0,0,0,1
36,2,0,0,0,1,0,0
37,2,0,0,0,1,0,0
38,-1,0,1,0,0,0,0
39,-1,0,0,1,0,0,0
40,-1,-1,0,0,0,0,1
41,-1,0,1,0,0,0,0
42,2,0,0,0,1,0,0
43,-1,-1,0,0,0,0,1
44,2,0,0,0,1,0,0
45,-1,0,1,0,0,0,0
46,-1,0,0,1,0,0,0
47,-1,0,0,1,0,0,0
48,-1,-1,0,0,0,0,1
49,-1,0,1,0,0,0,0
50,-1,-1,0,0,0,0,1
51,-1,0,0,1,0,0,0
52,-1,0,1,0,0,0,0
53,-1,0,0,1,0,0,0
54,2,0,0,0,0,0,0
55,2,0,0,0,0,0,0
56,-1,-1,0,0,0,0,1
57,-1,0,0,1,0,0,0
58,2,0,0,0,1,0,0
59,-1,-1,0,0,0,0,1
60,2,0,0,0,1,0,0
61,-1,0,1,0,0,0,0
62,-1,-1,0,0,0,0,1
63,-1,0,1,0,0,0,0
64,2,0,0,0,0,0,0
65,-1,0,1,0,0,0,0
66,-1,-1,0,0,0,0,1
67,-1,0,0,1,0,0,0
68,-1,0,1,0,0,0,0
69,2,0,0,0,1,0,0
70,-1,-1,0,0,0,0,1
71,-1,-1,0,0,0,0,1
72,-1,0,1,0,0,0,0
73,2,0,0,0,1,0,0
74,-1,0,0,1,0,0,0
75,-1,0,0,1,0,0,0
76,2,0,0,0,0,0,0
77,-1,0,1,0,0,0,0
78,-1,0,1,0,0,0,0
79,-1,-1,0,0,0,0,1
80,-1,0,0,1,0,0,0
81,-1,0,0,1,0,0,0
82,-1,0,1,0,0,0,0
83,2,0,0,0,1,0,0
84,-1,-1,0,0,0,0,1
85,-1,-1,0,0,0,0,1
86,-1,0,1,0,0,0,0
87,2,0,0,0,0,0,0
88,-1,-1,0,0,0,0,1
89,-1,0,0,1,0,0,0
90,-10,0,0,0,0,0,0
91,-1,0,0,1,0,0,0
92,2,0,0,0,1,0,0
93,-1,-1,0,0,0,0,1
94,-1,0,0,1,0,0,0
95,2,0,0,0,0,0,0
96,2,0,0,0,1,0,0
97,2,0,0,0,1,0,0
98,2,0,0,0,1,0,0
99,2,0,0,0,1,0,0
100,-1,0,0,1,0,0,0
101,2,0,0,0,0,0,0
102,-1,-1,0,0,0,0,1
103,-1,-1,0,0,0,0,1
104,-1,-1,0,0,0,0,1
105,-1,0,1,0,0,0,0
106,-1,0,1,0,0,0,0
107,2,0,0,0,1,0,0
108,-1,0,1,0,0,0,0
109,-1,0,1,0,0,0,0
110,2,0,0,0,1,0,0
111,2,0,0,0,0,0,0
112,-1,-1,0,0,0,0,1
113,2,0,0,0,0,0,0
114,-1,0,1,0,0,0,0
115,-1,0,0,1,0,0,0
116,-1,0,1,0,0,0,0
117,-1,-1,0,0,0,0,1
118,-1,-1,0,0,0,0,1
119,-1,-1,0,0,0,0,1
120,-1,0,1,0,0,0,0
121,2,0,0,0,0,0,0
122,2,0,0,0,1,0,0
123,-1,0,1,0,0,0,0
124,-1,0,1,0,0,0,0
125,2,0,0,0,0,0,0
126,-1,0,1,0,0,0,0
127,-1,-1,0,0,0,0,1
128,-1,0,1,0,0,0,0
129,-1,0,1,0,0,0,0
130,-1,1,0,0,0,0,1
131,-1,0,0,1,0,0,0
132,-1,-1,0,0,0,0,1
133,2,0,0,0,0,0,0
134,-1,0,0,1,0,0,0
135,-1,0,1,0,0,0,0
136,-1,0,1,0,0,0,0
137,-1,0,0,1,0,0,0
138,-1,0,0,1,0,0,0
139,-1,0,1,0,0,0,0
140,2,0,0,0,1,0,0
141,-1,0,1,0,0,0,0
142,-10,0,0,0,1,0,0
143,-1,1,0,0,0,0,1
144,-1,0,0,1,0,0,0
145,-1,0,1,0,0,0,0
146,-1,1,0,0,0,0,1
147,-1,0,1,0,0,0,0
148,-1,0,1,0,0,0,0
149,-1,0,0,1,0,0,0
150,2,0,0,0,1,0,0
151,-1,0,1,0,0,0,0
152,-1,0,0,1,0,0,0
153,2,0,0,0,0,0,0
